File,Window,Time Start,Time End,Predicted,Ground Truth
clean/Bearded Seal/Bearded Seal_0.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_1.wav,0,0.0,1.0,Humpback Whale,Bearded Seal
clean/Bearded Seal/Bearded Seal_2.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_3.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_4.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_5.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_6.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_7.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_8.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_9.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_10.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_11.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_12.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_13.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_14.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_15.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_16.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_17.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_18.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_19.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_20.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_21.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_22.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_23.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_24.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_25.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_26.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_27.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_28.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_29.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_30.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_31.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_32.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_33.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_34.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_35.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_36.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_37.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_38.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_39.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_40.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_41.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_42.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_43.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_44.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_45.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_46.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_47.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_48.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_49.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_50.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_51.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_52.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_53.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_54.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_55.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_56.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_57.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_58.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_59.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_60.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_61.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_62.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_63.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_64.wav,0,0.0,1.0,Killer Whale,Bearded Seal
clean/Bearded Seal/Bearded Seal_65.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_66.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_67.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_68.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_69.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_70.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_71.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_72.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_73.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_74.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_75.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_76.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_77.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_78.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_79.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_80.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_81.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_82.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_83.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_84.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_85.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_86.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_87.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_88.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_89.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_90.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_91.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_92.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_93.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_94.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_95.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_96.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_97.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_98.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_99.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_100.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_101.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_102.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_103.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_104.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_105.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_106.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_107.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_108.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_109.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_110.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_111.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_112.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_113.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_114.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_115.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_116.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_117.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_118.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_119.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_120.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_121.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_122.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_123.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_124.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_125.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_126.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_127.wav,0,0.0,1.0,Northern Right Whale,Bearded Seal
clean/Bearded Seal/Bearded Seal_128.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_129.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_130.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_131.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_132.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_133.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_134.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_135.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_136.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_137.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_138.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_139.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_140.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_141.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_142.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_143.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_144.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_145.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_146.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_147.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_148.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_149.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_150.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_151.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Bearded Seal/Bearded Seal_152.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
clean/Beluga White Whale/Beluga White Whale_0.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_1.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_2.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_3.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_4.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_5.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_6.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_7.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_8.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_9.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_10.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_11.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_12.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_13.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_14.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_15.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_16.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_17.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_18.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
