File,Window,Time Start,Time End,Predicted,Ground Truth
audio2025_rec/Bearded Seal/Bearded Seal.wav,0,0.0,1.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,1,1.0,2.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,2,2.0,3.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,3,3.0,4.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,4,4.0,5.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,5,5.0,6.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,6,6.0,7.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,7,7.0,8.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,8,8.0,9.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,9,9.0,10.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,10,10.0,11.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,11,11.0,12.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,12,12.0,13.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,13,13.0,14.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,14,14.0,15.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,15,15.0,16.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,16,16.0,17.0,Killer Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,17,17.0,18.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,18,18.0,19.0,khong,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,19,19.0,20.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,20,20.0,21.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,21,21.0,22.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,22,22.0,23.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,23,23.0,24.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,24,24.0,25.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,25,25.0,26.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,26,26.0,27.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,27,27.0,28.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,28,28.0,29.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,29,29.0,30.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,30,30.0,31.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,31,31.0,32.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,32,32.0,33.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,33,33.0,34.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,34,34.0,35.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,35,35.0,36.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,36,36.0,37.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,37,37.0,38.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,38,38.0,39.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,39,39.0,40.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,40,40.0,41.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,41,41.0,42.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,42,42.0,43.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,43,43.0,44.0,Killer Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,44,44.0,45.0,Harp Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,45,45.0,46.0,Humpback Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,46,46.0,47.0,khong,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,47,47.0,48.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,48,48.0,49.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,49,49.0,50.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,50,50.0,51.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,51,51.0,52.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,52,52.0,53.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,53,53.0,54.0,khong,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,54,54.0,55.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,55,55.0,56.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,56,56.0,57.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,57,57.0,58.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,58,58.0,59.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,59,59.0,60.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,60,60.0,61.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,61,61.0,62.0,Humpback Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,62,62.0,63.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,63,63.0,64.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,64,64.0,65.0,Sperm Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,65,65.0,66.0,Beluga White Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,66,66.0,67.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,67,67.0,68.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,68,68.0,69.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,69,69.0,70.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,70,70.0,71.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,71,71.0,72.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,72,72.0,73.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,73,73.0,74.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,74,74.0,75.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,75,75.0,76.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,76,76.0,77.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,77,77.0,78.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,78,78.0,79.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,79,79.0,80.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,80,80.0,81.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,81,81.0,82.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,82,82.0,83.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,83,83.0,84.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,84,84.0,85.0,Sperm Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,85,85.0,86.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,86,86.0,87.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,87,87.0,88.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,88,88.0,89.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,89,89.0,90.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,90,90.0,91.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,91,91.0,92.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,92,92.0,93.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,93,93.0,94.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,94,94.0,95.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,95,95.0,96.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,96,96.0,97.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,97,97.0,98.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,98,98.0,99.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,99,99.0,100.0,khong,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,100,100.0,101.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,101,101.0,102.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,102,102.0,103.0,Sperm Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,103,103.0,104.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,104,104.0,105.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,105,105.0,106.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,106,106.0,107.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,107,107.0,108.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,108,108.0,109.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,109,109.0,110.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,110,110.0,111.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,111,111.0,112.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,112,112.0,113.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,113,113.0,114.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,114,114.0,115.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,115,115.0,116.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,116,116.0,117.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,117,117.0,118.0,Beluga White Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,118,118.0,119.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,119,119.0,120.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,120,120.0,121.0,khong,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,121,121.0,122.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,122,122.0,123.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,123,123.0,124.0,Sperm Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,124,124.0,125.0,Killer Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,125,125.0,126.0,Harp Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,126,126.0,127.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,127,127.0,128.0,Harp Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,128,128.0,129.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,129,129.0,130.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,130,130.0,131.0,Northern Right Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,131,131.0,132.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,132,132.0,133.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,133,133.0,134.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,134,134.0,135.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,135,135.0,136.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,136,136.0,137.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,137,137.0,138.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,138,138.0,139.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,139,139.0,140.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,140,140.0,141.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,141,141.0,142.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,142,142.0,143.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,143,143.0,144.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,144,144.0,145.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,145,145.0,146.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,146,146.0,147.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,147,147.0,148.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,148,148.0,149.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,149,149.0,150.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,150,150.0,151.0,Bearded Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,151,151.0,152.0,Long-Finned Pilot Whale,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,152,152.0,153.0,Harp Seal,Bearded Seal
audio2025_rec/Bearded Seal/Bearded Seal.wav,153,153.0,153.344625,khong,Bearded Seal
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,0,0.0,1.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,1,1.0,2.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,2,2.0,3.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,3,3.0,4.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,4,4.0,5.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,5,5.0,6.0,khong,Beluga White Whale
